,AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
43,2011,5240,Ebejico,5,Antioquia,3758,Antioquia (ETC),2915.0,88.23,88.2,76.9,85.2,67.1,31.8,97.9,93.2,111.6,101.0,63.2,19.17,78.13,7.01,4.59,5.76,9.67,6.12,89.54,95.41,91.71,86.04,86.39,3.45,0.0,2.53,4.29,7.48,2.08,0.0,1.61,3.38,1.79
44,2011,5250,El Bagre,5,Antioquia,3758,Antioquia (ETC),12985.0,106.24,106.2,90.4,114.0,60.7,24.1,123.6,114.5,171.9,97.0,56.6,24.68,54.17,5.66,5.25,4.8,6.82,8.97,94.32,94.75,95.2,93.18,90.63,0.03,0.0,0.0,0.0,0.4,0.46,0.33,0.57,0.32,0.21
46,2011,5266,Envigado,5,Antioquia,3761,Envigado,38999.0,76.54,75.2,46.6,66.3,70.7,54.4,86.9,69.4,75.2,97.6,99.4,25.7,92.86,3.82,3.86,2.65,4.38,5.35,96.14,96.14,97.34,95.6,94.51,0.03,0.0,0.01,0.01,0.14,1.43,0.0,0.43,2.6,1.56
47,2011,5282,Fredonia,5,Antioquia,3758,Antioquia (ETC),4857.0,86.76,86.8,43.7,81.6,76.0,40.2,98.1,69.5,103.6,104.3,86.8,22.8,91.43,2.46,2.26,2.51,2.43,2.48,94.03,97.74,95.56,90.72,96.45,3.51,0.0,1.92,6.86,1.06,3.15,0.0,3.08,4.16,2.0
48,2011,5284,Frontino,5,Antioquia,3758,Antioquia (ETC),4822.0,123.87,123.9,72.8,122.3,74.4,41.5,141.5,105.1,191.4,111.5,96.6,23.27,64.29,5.32,2.68,2.25,10.88,8.35,91.14,95.37,93.18,86.83,89.29,3.54,1.95,4.58,2.29,2.36,0.96,0.0,0.7,1.84,0.66
49,2011,5306,Giraldo,5,Antioquia,3758,Antioquia (ETC),1025.0,101.46,101.5,68.8,108.8,82.9,48.4,109.9,92.5,130.1,105.8,82.3,26.0,93.33,3.91,5.41,1.75,7.03,2.61,94.58,94.59,96.89,90.36,97.39,1.51,0.0,1.36,2.6,0.0,0.8,0.0,0.58,1.04,1.31
50,2011,5308,Girardota,5,Antioquia,3758,Antioquia (ETC),10974.0,81.1,81.0,54.0,76.2,75.7,49.6,86.2,67.2,88.4,95.2,72.8,24.38,87.1,3.16,5.1,2.54,3.79,2.45,88.95,94.9,91.18,85.1,90.13,7.89,0.0,6.28,11.11,7.43,5.25,0.0,3.77,8.48,3.81
52,2011,5313,Granada,5,Antioquia,3758,Antioquia (ETC),2185.0,98.4,98.4,69.1,92.8,85.6,33.5,108.0,82.3,118.8,125.2,61.0,17.17,73.91,5.59,4.86,2.78,8.13,9.01,94.36,95.14,97.22,91.87,90.56,0.04,0.0,0.0,0.0,0.43,0.14,0.0,0.0,0.25,0.47
53,2011,5315,Guadalupe,5,Antioquia,3758,Antioquia (ETC),1276.0,105.64,105.6,58.3,100.4,76.5,30.1,117.2,92.6,144.5,118.2,58.9,17.1,89.47,6.02,1.0,4.13,8.97,10.85,93.92,99.0,95.87,91.03,88.37,0.07,0.0,0.0,0.0,0.78,2.45,0.0,2.5,3.82,0.0
54,2011,5318,Guarne,5,Antioquia,3758,Antioquia (ETC),10367.0,71.44,71.4,54.5,67.6,67.4,39.3,76.0,60.8,77.7,84.8,62.2,26.05,96.77,2.21,2.85,1.59,2.45,3.24,96.59,97.15,98.17,96.34,91.91,1.21,0.0,0.24,1.21,4.85,1.94,0.0,0.91,3.41,2.4
55,2011,5321,Guatape,5,Antioquia,3758,Antioquia (ETC),1179.0,114.08,114.1,97.9,103.4,100.3,87.0,128.1,101.1,117.3,139.8,142.5,26.18,100.0,1.38,1.04,1.47,1.02,2.07,89.58,98.96,89.01,91.19,83.88,9.04,0.0,9.52,7.79,14.05,0.9,0.0,1.47,0.88,0.0
56,2011,5347,Heliconia,5,Antioquia,3758,Antioquia (ETC),1485.0,89.02,89.0,50.8,82.5,72.3,30.6,98.7,81.5,110.9,103.4,67.5,18.73,100.0,1.78,2.96,1.71,2.44,1.18,97.68,100.0,98.29,97.56,94.12,0.55,0.0,0.0,0.0,4.71,0.08,0.0,0.15,0.0,0.0
58,2011,5360,Itagüi,5,Antioquia,3762,Itagüi,52114.0,75.43,75.1,58.8,71.5,68.1,47.3,83.4,68.4,81.5,92.4,77.0,27.11,100.0,1.98,1.52,1.48,2.7,1.83,96.97,98.44,98.12,95.76,96.05,1.05,0.04,0.4,1.55,2.12,1.21,0.04,0.89,2.03,0.58
59,2011,5361,Ituango,5,Antioquia,3758,Antioquia (ETC),6721.0,102.5,102.5,60.8,114.3,56.5,20.3,114.5,73.6,161.9,96.4,50.2,20.26,58.04,7.0,2.86,5.86,10.31,8.33,86.54,96.43,84.63,87.86,91.03,6.46,0.71,9.51,1.83,0.64,0.8,0.0,0.66,1.55,0.28
61,2011,5368,Jerico,5,Antioquia,3758,Antioquia (ETC),2761.0,98.59,98.6,58.6,91.2,84.1,54.4,114.9,73.2,121.5,118.0,112.6,22.63,75.86,5.52,5.59,4.98,6.7,4.26,93.85,94.41,93.93,93.3,94.83,0.63,0.0,1.09,0.0,0.91,1.73,0.0,0.86,3.4,1.22
62,2011,5376,La Ceja,5,Antioquia,3758,Antioquia (ETC),11242.0,93.7,93.5,76.9,93.0,83.1,47.2,100.8,90.4,107.6,107.0,78.2,28.87,100.0,1.25,2.47,0.96,1.34,1.48,92.16,97.53,95.24,87.65,89.65,6.59,0.0,3.8,11.01,8.87,2.3,1.6,2.31,2.75,1.32
63,2011,5380,La Estrella,5,Antioquia,3758,Antioquia (ETC),12422.0,102.38,101.6,68.6,102.5,92.8,52.8,109.3,92.5,117.6,115.2,86.1,26.04,100.0,4.02,2.78,4.07,4.8,2.29,91.13,97.22,91.02,89.91,91.88,4.85,0.0,4.91,5.3,5.84,0.33,0.0,0.2,0.58,0.23
64,2011,5390,La Pintada,5,Antioquia,3758,Antioquia (ETC),1565.0,115.85,115.9,72.7,115.2,97.3,48.2,127.7,79.7,147.8,137.2,85.5,32.85,80.0,0.7,0.98,0.65,0.95,4.64875,88.45,99.02,89.08,84.65,91.94,10.86,0.0,10.27,14.4,8.06,0.65,0.0,1.32,0.0,0.0
65,2011,5400,La Union,5,Antioquia,3758,Antioquia (ETC),4388.0,95.92,95.9,87.5,94.2,83.9,51.7,101.2,90.5,108.8,107.4,74.8,25.48,92.31,4.05,5.73,4.35,3.93,2.25,88.34,94.27,84.79,89.67,94.68,7.62,0.0,10.85,6.4,3.07,1.44,0.0,1.56,2.04,0.24
66,2011,5411,Liborina,5,Antioquia,3758,Antioquia (ETC),2208.0,100.36,100.4,90.4,113.3,63.9,33.9,114.2,118.6,147.5,106.4,66.1,26.09,91.18,4.42,1.08,3.02,7.94,1.66,95.53,98.92,96.98,92.06,97.79,0.04,0.0,0.0,0.0,0.55,0.91,0.54,1.38,0.51,0.0
67,2011,5425,Maceo,5,Antioquia,3758,Antioquia (ETC),1558.0,126.83,126.8,85.0,132.0,91.1,43.7,141.1,96.9,169.3,146.4,85.1,23.02,56.52,3.28,1.63,2.79,2.63,9.47,92.76,98.37,94.23,91.09,86.84,3.96,0.0,2.98,6.28,3.68,2.14,0.0,3.3,1.31,0.0
68,2011,5440,Marinilla,5,Antioquia,3758,Antioquia (ETC),12317.0,90.29,90.3,72.0,84.9,85.9,55.3,96.5,76.8,95.7,106.4,90.1,25.55,97.5,2.66,1.69,1.82,3.55,3.54,91.66,98.31,93.0,90.23,88.02,5.67,0.0,5.18,6.22,8.45,1.71,0.0,1.66,2.63,0.45
69,2011,5467,Montebello,5,Antioquia,3758,Antioquia (ETC),1534.0,92.31,92.3,66.7,95.9,67.9,36.2,100.7,77.8,121.6,96.6,69.1,21.4,95.83,3.31,6.12,1.93,4.26,5.45,96.69,93.88,98.07,95.74,94.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2011,5480,Mutata,5,Antioquia,3758,Antioquia (ETC),5026.0,84.04,84.0,68.8,94.9,43.4,16.7,92.3,82.2,135.0,70.9,36.6,23.92,47.22,2.95,2.67,2.64,4.05,2.23,94.26,97.33,95.31,89.93,96.43,2.79,0.0,2.05,6.02,1.34,0.64,0.0,0.69,0.69,0.89
72,2011,5483,Nariño,5,Antioquia,3758,Antioquia (ETC),4178.0,63.0,63.0,48.6,68.1,36.6,11.1,68.2,63.4,95.6,56.1,26.0,22.47,55.1,6.16,9.17,6.43,5.07,4.65,89.14,90.83,89.51,87.52,90.7,4.7,0.0,4.06,7.41,4.65,0.0,0.0,0.0,0.0,0.0
73,2011,5490,Necocli,5,Antioquia,3758,Antioquia (ETC),16152.0,97.13,97.1,80.4,107.7,58.8,21.9,115.8,104.7,147.4,107.6,57.9,19.35,40.83,6.02,5.17,4.81,8.14,7.82,89.07,94.59,90.02,85.97,88.07,4.91,0.24,5.17,5.89,4.1,0.71,0.0,0.71,0.9,0.7
74,2011,5495,Nechi,5,Antioquia,3758,Antioquia (ETC),6433.0,96.3,96.3,97.7,109.9,44.6,19.4,102.3,121.1,151.2,68.7,42.5,27.19,28.85,2.78,2.06,3.19,1.59,4.05,94.38,97.94,92.24,98.41,95.48,2.84,0.0,4.57,0.0,0.48,2.58,0.0,1.82,6.51,0.0
77,2011,5543,Peque,5,Antioquia,3758,Antioquia (ETC),2593.0,82.76,82.8,30.1,88.4,46.2,12.7,95.3,41.2,130.4,87.0,50.1,33.3,90.0,5.71,3.397777777777778,3.97,8.37,12.9,94.25,100.0,96.03,91.63,86.45,0.04,0.0,0.0,0.0,0.65,0.14,0.0,0.22,0.0,0.0
78,2011,5576,Pueblorrico,5,Antioquia,3758,Antioquia (ETC),1842.0,94.46,94.5,72.7,92.3,72.8,26.4,105.9,87.0,118.5,116.3,63.7,28.37,87.5,2.72,4.48,2.72,2.76,1.14,92.07,94.78,89.87,93.55,96.0,5.22,0.75,7.41,3.69,2.86,5.82,0.0,7.3,5.87,1.44
79,2011,5579,Puerto Berrio,5,Antioquia,3758,Antioquia (ETC),10157.0,87.79,87.8,60.3,93.0,66.9,38.3,98.3,70.3,115.2,99.1,70.7,25.27,88.24,5.21,7.37,5.46,5.29,2.75,93.85,92.63,93.09,94.28,96.83,0.94,0.0,1.45,0.43,0.42,1.23,0.0,1.58,1.18,0.34
